,Team,Result,SRS,DRtg,MOV,ORtg,Age,DeFG%,SOS,OFT/FGA,ORB%,TOV,OeFG%
538,Dallas Mavericks,FR,4.86,107.4,4.44,112.1,27.4,0.498,0.42,0.204,31.4,12.2,0.495
630,Detroit Pistons,CF,3.69,104.2,4.16,108.9,29.0,0.47700000000000004,-0.47,0.237,28.3,12.2,0.488
536,Chicago Bulls,NP,-6.69,103.4,-6.35,96.6,26.8,0.469,-0.33,0.19699999999999998,28.1,16.1,0.446
424,Denver Nuggets,NP,-1.76,105.8,-2.12,103.5,25.9,0.479,0.36,0.222,29.2,15.6,0.47600000000000003
247,Washington Bullets,NP,-6.49,110.8,-7.04,103.6,26.1,0.51,0.55,0.223,28.8,16.1,0.48
673,Orlando Magic,SF,4.79,105.5,5.46,111.3,26.7,0.484,-0.68,0.256,23.4,14.3,0.537
736,Phoenix Suns,CF,4.67,110.2,4.9,115.3,28.5,0.491,-0.23,0.24,27.6,14.8,0.546
625,Charlotte Bobcats,NP,-3.97,107.6,-3.74,103.6,25.5,0.5,-0.22,0.23600000000000002,26.4,14.9,0.48
484,Golden State Warriors,NP,-4.8,108.5,-5.4,102.8,24.8,0.488,0.61,0.242,35.3,16.8,0.452
826,Phoenix Suns,NP,-5.75,108.1,-6.46,101.2,26.9,0.512,0.71,0.174,27.0,15.6,0.47700000000000004
68,Washington Bullets,FR,-1.28,104.8,-1.8,103.0,27.1,0.47200000000000003,0.53,0.23800000000000002,29.1,16.4,0.47100000000000003
11,Los Angeles Lakers,LF,3.32,107.3,3.76,110.9,27.5,0.48700000000000004,-0.44,0.23600000000000002,33.7,19.2,0.536
86,Portland Trail Blazers,FR,2.57,108.6,3.13,111.5,26.9,0.493,-0.57,0.313,34.1,18.9,0.51
814,Indiana Pacers,CF,3.34,99.8,4.02,104.3,25.7,0.45299999999999996,-0.69,0.21899999999999997,30.3,15.1,0.479
438,Phoenix Suns,SF,5.24,99.0,5.22,104.6,28.6,0.45399999999999996,0.02,0.217,29.3,16.7,0.491
771,Utah Jazz,NP,-1.44,110.1,-1.83,108.1,26.8,0.505,0.39,0.24100000000000002,27.0,14.3,0.498
127,Los Angeles Lakers,LF,6.38,106.7,7.17,113.8,29.5,0.48200000000000004,-0.79,0.282,33.0,16.4,0.518
591,Utah Jazz,NP,-3.74,109.5,-4.27,104.7,25.7,0.499,0.53,0.273,31.9,15.8,0.469
966,Los Angeles Lakers,NP,-1.44,108.0,-1.55,106.5,23.7,0.514,0.11,0.188,23.6,15.8,0.517
114,Washington Bullets,FR,-0.16,107.2,-0.77,106.5,26.6,0.48700000000000004,0.61,0.267,34.2,16.9,0.47
270,Sacramento Kings,NP,-5.32,109.2,-5.77,103.3,26.7,0.499,0.44,0.239,30.4,16.3,0.47100000000000003
727,Miami Heat,FR,1.99,104.1,2.28,106.6,27.1,0.48,-0.29,0.223,26.1,13.2,0.496
841,Detroit Pistons,NP,-4.13,109.7,-3.66,105.9,24.7,0.52,-0.48,0.19899999999999998,31.4,14.5,0.48200000000000004
138,Utah Jazz,FR,4.01,101.5,5.02,106.6,27.4,0.447,-1.01,0.32,32.0,18.7,0.491
595,Charlotte Bobcats,NP,-3.9,106.7,-4.0,102.5,25.2,0.514,0.1,0.233,27.1,14.2,0.46399999999999997
914,Orlando Magic,NP,-1.68,106.8,-1.62,105.1,23.9,0.513,-0.06,0.175,23.1,14.1,0.5
953,Atlanta Hawks,NP,-5.3,110.6,-5.45,105.0,25.4,0.536,0.15,0.185,21.1,15.6,0.512
59,New Jersey Nets,FR,-1.39,106.9,-1.99,105.0,27.5,0.499,0.6,0.248,33.3,19.2,0.489
100,Houston Rockets,FR,0.82,105.7,1.39,107.1,27.7,0.473,-0.57,0.263,33.1,16.7,0.47600000000000003
122,Detroit Pistons,WF,6.24,104.7,5.8,110.8,28.6,0.45799999999999996,0.44,0.266,34.5,16.3,0.502
166,Washington Bullets,NP,-2.43,109.7,-2.16,107.5,27.5,0.484,-0.27,0.21100000000000002,32.4,14.6,0.47700000000000004
645,Phoenix Suns,SF,7.28,106.4,7.3,113.9,27.6,0.49200000000000005,-0.03,0.215,22.7,14.5,0.551
667,Miami Heat,NP,-8.53,110.0,-8.65,100.5,27.4,0.51,0.11,0.218,22.1,14.7,0.48200000000000004
692,Houston Rockets,SF,3.73,104.0,4.0,108.4,27.9,0.479,-0.27,0.235,26.4,14.1,0.501
442,Seattle SuperSonics,FR,1.17,104.6,0.95,105.6,28.5,0.483,0.22,0.196,28.5,14.0,0.48700000000000004
922,Washington Wizards,NP,-0.5,105.8,-0.5,105.3,27.3,0.515,0.0,0.192,20.6,14.5,0.511
231,Indiana Pacers,FR,1.77,110.1,1.7,111.9,26.8,0.485,0.08,0.262,34.2,15.3,0.498
360,Atlanta Hawks,FR,3.85,104.3,3.51,108.2,29.4,0.46799999999999997,0.34,0.275,33.9,14.8,0.48100000000000004
978,Sacramento Kings,NP,-6.6,111.1,-6.99,103.7,26.4,0.542,0.39,0.14300000000000002,21.5,13.7,0.502
710,Toronto Raptors,NP,-2.54,110.0,-2.82,107.0,27.0,0.511,0.28,0.23,24.0,13.4,0.494
583,Orlando Magic,NP,-2.52,107.3,-2.24,104.9,26.5,0.484,-0.27,0.265,29.9,16.1,0.478
534,Atlanta Hawks,NP,-5.0,106.1,-4.65,101.0,26.2,0.47600000000000003,-0.36,0.235,28.6,16.5,0.465
754,Los Angeles Clippers,NP,-2.71,108.7,-3.13,105.3,24.6,0.499,0.42,0.23399999999999999,28.4,16.4,0.496
144,Cleveland Cavaliers,FR,-0.62,107.2,-0.3,106.9,26.1,0.49,-0.31,0.235,31.5,15.2,0.485
943,Oklahoma City Thunder,FR,1.14,107.5,0.76,108.3,24.7,0.511,0.39,0.22,27.9,15.0,0.5
539,Denver Nuggets,FR,1.65,102.7,1.07,103.9,25.6,0.48100000000000004,0.58,0.245,30.5,15.6,0.467
241,Phoenix Suns,LF,6.27,106.7,6.66,113.3,28.2,0.496,-0.39,0.27,33.0,16.6,0.521
372,Los Angeles Lakers,CF,6.88,103.7,7.74,111.9,25.8,0.467,-0.87,0.285,31.6,15.3,0.519
107,Philadelphia 76ers,NP,-0.79,110.3,-1.44,108.8,27.2,0.506,0.65,0.308,35.4,17.5,0.485
615,Phoenix Suns,CF,5.48,105.8,5.55,111.5,27.5,0.49,-0.07,0.166,22.1,13.3,0.537
296,Portland Trail Blazers,FR,3.8,105.7,3.82,109.7,29.3,0.491,-0.02,0.218,37.1,14.8,0.483
671,New Orleans Hornets,SF,5.46,105.7,5.28,111.5,27.1,0.501,0.18,0.193,27.0,11.9,0.512
931,Detroit Pistons,NP,-1.29,107.1,-1.12,106.0,25.4,0.516,-0.17,0.157,24.1,11.9,0.49200000000000005
121,Denver Nuggets,FR,0.91,107.1,1.7,108.6,29.8,0.505,-0.78,0.22399999999999998,29.6,14.9,0.48200000000000004
529,San Antonio Spurs,WF,5.65,99.7,5.41,105.6,28.4,0.45299999999999996,0.23,0.253,28.8,15.8,0.49700000000000005
954,Boston Celtics,CF,3.23,103.9,3.59,107.6,24.7,0.495,-0.35,0.188,21.5,14.0,0.518
452,Dallas Mavericks,SF,4.61,102.6,4.28,107.1,26.6,0.467,0.32,0.231,24.1,13.9,0.498
99,Golden State Warriors,NP,-8.38,112.9,-8.32,104.7,25.4,0.511,-0.06,0.237,31.2,17.0,0.474
946,Phoenix Suns,NP,-5.14,112.2,-5.63,106.6,25.0,0.525,0.49,0.231,26.0,15.4,0.493
295,Phoenix Suns,SF,3.86,110.4,3.88,114.5,29.2,0.515,-0.02,0.255,29.7,14.2,0.524
635,Los Angeles Lakers,FR,0.24,108.6,-0.07,108.6,25.3,0.5,0.32,0.249,26.1,15.5,0.511
457,Indiana Pacers,FR,-0.77,102.2,-0.2,102.0,27.7,0.452,-0.57,0.239,27.0,15.2,0.47100000000000003
845,Los Angeles Clippers,SF,7.27,104.8,6.98,112.1,28.1,0.484,0.3,0.258,25.0,13.9,0.526
908,Miami Heat,SF,1.5,104.4,1.65,106.1,28.4,0.485,-0.14,0.21,23.8,14.1,0.508
62,Phoenix Suns,NP,-3.16,107.2,-2.99,104.3,26.3,0.495,-0.17,0.27899999999999997,31.3,21.5,0.506
160,Phoenix Suns,CF,7.09,106.2,7.1,113.1,26.7,0.478,-0.01,0.302,31.1,15.5,0.509
561,Utah Jazz,NP,-0.53,103.3,-1.22,101.9,24.9,0.46799999999999997,0.69,0.266,34.1,16.6,0.456
222,Boston Celtics,FR,0.93,107.8,0.89,108.7,28.6,0.479,0.04,0.21,31.2,14.3,0.495
359,Washington Bullets,FR,1.77,104.9,1.62,106.6,25.9,0.491,0.15,0.21,30.2,15.7,0.505
708,Sacramento Kings,NP,-8.6,114.7,-8.76,105.5,26.3,0.526,0.16,0.252,24.5,15.4,0.491
